date,symbol,side,quantity,price,trade_value,commission
2018-02-09,SPY,buy,1.323960548195099e-10,232.18921659999998,3.0740936249472653e-08,3.074093624947265e-12
2018-02-12,SPY,buy,1.3238281653771601e-14,234.8684845,3.10925514940549e-12,3.10925514940549e-16
2018-02-27,SPY,buy,123.73745017865514,247.5797555,30634.88766142487,3.0634887661424868
2018-02-28,SPY,sell,-0.012485258934273307,245.3684607,-3.063488766143564,0.0003063488766143564
2018-03-01,SPY,sell,-1.2681691222045197e-06,241.56784080000003,-0.0003063488766201772,3.063488766201772e-08
2018-03-02,SPY,sell,-1.2948719595145512e-10,236.5903386,-3.0635419534519315e-08,3.0635419534519313e-12
2018-03-05,SPY,sell,-1.5266755517232642e-14,238.2941682,-3.637978807091713e-12,3.637978807091713e-16
2018-03-22,SPY,sell,-123.73733738516074,239.4240552,-29625.69509640575,2.962569509640575
2018-03-23,SPY,buy,0.012372496488864806,236.1116088,2.9212900508582207,0.0002921290050858221
2018-03-26,SPY,buy,1.2371259362924225e-06,234.3014278,0.00028986037324172645,2.8986037324172645e-08
2018-03-27,SPY,buy,1.237002236069649e-10,237.9117888,2.9429741473293006e-08,2.9429741473293007e-12
2018-03-28,SPY,buy,1.2368785482153408e-14,233.05030269999997,2.882549200647217e-12,2.882549200647217e-16
2018-04-17,SPY,buy,123.04823559430669,240.71706930000002,29619.810654797453,2.9619810654797454
2018-04-18,SPY,sell,-0.012244103966807942,241.9108065,-2.9619810654803587,0.00029619810654803587
2018-04-19,SPY,sell,-1.2291709096763673e-06,240.9739002,-0.0002961981081170961,2.9619810811709614e-08
2018-04-20,SPY,sell,-1.2328616387492285e-10,240.2279748,-2.9616785468533635e-08,2.9616785468533637e-12
2018-04-23,SPY,sell,-1.5233006377983507e-14,238.8221154,-3.637978807091713e-12,3.637978807091713e-16
2018-05-01,SPY,sell,-123.04829509055475,235.806417,-29015.577583262406,2.9015577583262404
2018-05-02,SPY,buy,0.012303599149147727,236.6376614,2.9114949294573482,0.00029114949294573484
2018-05-03,SPY,buy,1.2302368912260909e-06,234.4294406,0.0002884037462156155,2.884037462156155e-08
2018-05-04,SPY,buy,1.2301138798368704e-10,233.7683745,2.875617221393535e-08,2.875617221393535e-12
2018-05-07,SPY,buy,1.2299908807478691e-14,238.553853,2.934190637572677e-12,2.9341906375726774e-16
2018-05-10,SPY,buy,120.05555711072842,241.6361612,29009.763950963777,2.900976395096378
2018-05-11,SPY,sell,-0.01192670548038871,243.23367420000002,-2.9009763950962224,0.00029009763950962224
2018-05-14,SPY,sell,-1.1876272655496018e-06,244.2665709,-0.00029009763966314495,2.9009763966314496e-08
2018-05-15,SPY,sell,-1.1953370148930841e-10,242.68672890000002,-2.900924300774932e-08,2.900924300774932e-12
2018-05-16,SPY,sell,-1.5015859023342337e-14,242.27577000000002,-3.637978807091713e-12,3.637978807091713e-16
2018-06-26,SPY,sell,-120.05563478097932,243.855612,-29276.2402935642,2.9276240293564197
2018-06-27,SPY,buy,0.012004363041794044,244.4474423,2.9344358420072023,0.00029344358420072025
2018-06-28,SPY,buy,1.2003162725528416e-06,241.7881764,0.00029022228264379696,2.9022228264379695e-08
2018-06-29,SPY,buy,1.2001962529282762e-10,244.32443,2.9323726538483693e-08,2.9323726538483692e-12
2018-07-02,SPY,buy,1.2000762453029411e-14,241.9891965,2.904054863395956e-12,2.904054863395956e-16
2018-07-11,SPY,buy,117.63066663804271,248.8328808,29270.377649968617,2.9270377649968617
2018-07-12,SPY,sell,-0.01171625801692714,249.8270148,-2.9270377649954753,0.00029270377649954756
2018-07-13,SPY,sell,-1.167998181400415e-06,250.60293719999999,-0.00029270377490320243,2.9270377490320243e-08
2018-07-16,SPY,sell,-1.1661178100752935e-10,251.01389609999998,-2.9271177481859922e-08,2.927117748185992e-12
2018-07-17,SPY,sell,-1.4553719854699906e-14,249.96900060000002,-3.637978807091713e-12,3.637978807091713e-16
2018-10-09,SPY,sell,-117.63071228313927,259.16608080000003,-30485.89068413363,3.0485890684133627
2018-10-10,SPY,buy,0.01176189503879779,258.6828657,3.0426007146988248,0.00030426007146988247
2018-10-11,SPY,buy,1.1760718966902353e-06,249.9069882,0.0002939085856085182,2.9390858560851824e-08
2018-10-12,SPY,buy,1.175954301259072e-10,249.6389614,2.9356401042017745e-08,2.9356401042017744e-12
2018-10-15,SPY,buy,1.1758367175866125e-14,248.5178493,2.9221641218259643e-12,2.9221641218259644e-16
2018-11-08,SPY,buy,120.63550664397651,252.66026349999999,30479.798896123106,3.0479798896123107
2018-11-09,SPY,sell,-0.01211405829975515,251.6068368,-3.0479798896121792,0.0003047979889612179
2018-11-12,SPY,sell,-1.2194309490187504e-06,249.9510024,-0.00030479798806481995,3.0479798806481993e-08
2018-11-13,SPY,sell,-1.2376933116756592e-10,246.2563719,-3.047898644581437e-08,3.047898644581437e-12
2018-11-14,SPY,sell,-1.4715892886461475e-14,247.2142761,-3.637978807091713e-12,3.637978807091713e-16
2018-11-19,SPY,sell,-120.63545491161321,246.2273748,-29703.751370690286,2.970375137069029
2018-11-20,SPY,buy,0.012062339257247775,239.3379314,2.886975325674695,0.0002886975325674695
2018-11-21,SPY,buy,1.2061133143929617e-06,239.77797539999997,0.000289199408628128,2.8919940862812798e-08
2018-11-23,SPY,buy,1.2059927151209963e-10,237.383736,2.862830563042058e-08,2.862830563042058e-12
2018-11-26,SPY,buy,1.2058721279066155e-14,239.7109687,2.890607759088251e-12,2.890607759088251e-16
2018-12-04,SPY,buy,118.29280262391221,251.0541029,29697.893442273045,2.9697893442273045
2018-12-06,SPY,sell,-0.012385061435054683,239.7880188,-2.9697893442280474,0.00029697893442280475
2018-12-07,SPY,sell,-1.2222124927388888e-06,242.9846991,-0.00029697893478441983,2.9697893478441982e-08
2018-12-10,SPY,sell,-1.2503806312314353e-10,237.50224740000002,-2.9696821002289653e-08,2.9696821002289654e-12
2018-12-11,SPY,sell,-118.29224556469609,241.365861,-28551.709700346302,2.85517097003463
2018-12-12,SPY,buy,0.011828041752289395,241.2331209,2.8533154260402753,0.0002853315426040275
2018-12-13,SPY,buy,1.1826859066380939e-06,240.38003559999999,0.00028429408034128325,2.8429408034128324e-08
2018-12-14,SPY,buy,1.1825676498730996e-10,237.1857162,2.8048815499010197e-08,2.8048815499010196e-12
2018-12-17,SPY,buy,1.182449404932021e-14,233.9573934,2.7664278060527672e-12,2.7664278060527674e-16
2019-01-10,SPY,buy,122.78153545876756,232.4942471,28546.00064426812,2.854600064426812
2019-01-11,SPY,sell,-0.012213152886495078,233.7316245,-2.854600064427359,0.0002854600064427359
2019-01-14,SPY,sell,-1.2253411348315668e-06,232.9637013,-0.00028546000612550415,2.8546000612550414e-08
2019-01-15,SPY,sell,-1.220725109104719e-10,233.8546122,-2.8547219699248675e-08,2.8547219699248674e-12
2019-01-16,SPY,sell,-1.5377350515442887e-14,236.5803396,-3.637978807091713e-12,3.637978807091713e-16
2019-03-12,SPY,sell,-122.78159924034189,253.09968750000002,-31075.98439848077,3.107598439848077
2019-03-13,SPY,buy,0.01227693223081383,254.4594434,3.123981342112408,0.0003123981342112408
2019-03-14,SPY,buy,1.2275704660359785e-06,255.25652309999998,0.0003133453690205905,3.1334536902059046e-08
2019-03-15,SPY,buy,121.54732535073785,255.6185593,31069.752192923974,3.1069752192923974
2019-03-18,SPY,sell,-0.012113561292750452,256.4873487,-3.106975219292508,0.0003106975219292508
2019-03-19,SPY,sell,-1.2029150547318607e-06,258.2871687,-0.00031069752367329784,3.106975236732978e-08
2019-03-20,SPY,sell,-1.2086858791128788e-10,257.04229319999996,-3.106833901256323e-08,3.1068339012563228e-12
2019-03-21,SPY,sell,-1.423000786666138e-14,255.65543190000002,-3.637978807091713e-12,3.637978807091713e-16
2019-05-09,SPY,sell,-121.54736532281869,259.8370137,-31582.504428584147,3.1582504428584146
2019-05-10,SPY,buy,0.012153521180163147,260.2610235,3.1630878614781888,0.0003163087861478189
2019-05-13,SPY,buy,1.2152305949563962e-06,257.33173059999996,0.000312717392078197,3.12717392078197e-08
2019-05-14,SPY,buy,1.2151090840459113e-10,256.9406915,3.122109683026881e-08,3.1221096830268812e-12
2019-05-15,SPY,buy,1.2149875852888221e-14,256.575655,3.117362355123479e-12,3.117362355123479e-16
2019-06-11,SPY,buy,119.08597039420684,265.15451279999996,31576.182461191132,3.1576182461191133
2019-06-12,SPY,sell,-0.012008540918575934,262.9477026,-3.157618246117636,0.0003157618246117636
2019-06-13,SPY,sell,-1.19772511802522e-06,263.6346339,-0.00031576182300341316,3.1576182300341316e-08
2019-06-14,SPY,sell,-1.1983309602705001e-10,263.51364600000005,-3.157765604555607e-08,3.157765604555607e-12
2019-06-17,SPY,sell,-1.379309516019353e-14,263.75362199999995,-3.637978807091713e-12,3.637978807091713e-16
2019-08-05,SPY,sell,-119.08586924236754,263.723625,-31405.757122873172,3.1405757122873172
2019-08-06,SPY,buy,0.011907396184617003,261.7751749,3.1170607188317088,0.0003117060718831709
2019-08-07,SPY,buy,1.190620556406193e-06,260.40703809999997,0.00031004597259471066,3.1004597259471066e-08
2019-08-08,SPY,buy,1.1905015062538283e-10,265.1935167,3.157132810800997e-08,3.157132810800997e-12
2019-08-09,SPY,buy,1.1903824680067299e-14,267.9007874,3.1890440048615826e-12,3.1890440048615827e-16
2019-09-03,SPY,buy,118.02388279209433,266.0436017,31399.49886462743,3.139949886462743
2019-09-04,SPY,sell,-0.011701117149841027,268.3461627,-3.1399498864630004,0.00031399498864630003
